,V,V_amp,V_angle,S_node
1,(1+0j),1.0,0.0,(149.99999999999986+23.030399291436154j)
2,(0.9539392014171276-0.2999999999999997j),1.0000000000001734,-17.45760312371895,(100.00000003519163+71.680498254213j)
3,(0.8325299648533623-0.5238897706989935j),0.9836496501406304,-32.181155345038135,(-1.861230354545972e-13-2.9577405941458404e-13j)
4,(0.7718253465714797-0.6358346560484904j),1.0000000377212428,-39.48191508974375,(-250.00000003519142+48.650149257363395j)
